                                                food  Caloric Value     Fat  Saturated Fats  Monounsaturated Fats  Polyunsaturated Fats  Carbohydrates  Sugars  Protein  Dietary Fiber  Cholesterol  Sodium    Water  Vitamin A  Vitamin B1  Vitamin B11  Vitamin B12  Vitamin B2  Vitamin B3  Vitamin B5  Vitamin B6  Vitamin C  Vitamin D  Vitamin E  Vitamin K  Calcium   Copper    Iron  Magnesium  Manganese  Phosphorus  Potassium  Selenium    Zinc  Nutrition Density
                                       baby zucchini              2   0.089           0.020                 0.047                 0.006          0.300   0.000    0.300          0.100        0.000   0.041   10.200      0.000       0.060        0.035        0.000       0.092       0.063       0.052       0.009      3.800      0.000      0.000      0.000    2.300    0.019   0.098      3.600      0.035      10.200     50.500     0.057   0.084              6.890
                                           onion raw             16   0.048           0.077                 0.091                 0.007          3.700   1.700    0.400          0.700        0.000   0.065   35.600      0.000       0.000        0.047        0.054       0.000       0.043       0.074       0.063      0.098      3.000      0.000      0.029    0.080    9.200   0.011      0.014      4.000       0.072     11.600    58.400   0.092              4.955
                                    romanesco cooked             39   0.400           0.028                 0.077                 0.200          7.700   0.000    3.700          4.000        0.000   0.300  109.200      0.000       0.039        0.085        0.000       0.100       0.800       0.800       0.300     88.600      0.000      0.000      0.000   39.000    0.081   0.900     23.200      0.300      69.500    339.200     0.067   0.800            144.300
                                butternut squash raw             90   0.200           0.044                 0.046                 0.019         23.400   4.400    2.000          4.000        0.000   0.067  172.800      0.000       0.000        0.200        0.016       0.000       0.048       2.400       0.800      0.300     42.000      0.000      2.900    0.075   96.000   0.100      1.400     68.000       0.400     66.000   704.000   0.024             30.078
                                     amaranth leaves              6   0.075           0.072                 0.033                 0.025          1.100   0.000    0.700          0.000        0.000   0.071   25.700      0.000       0.046        0.029        0.000       0.042       0.200       0.039       0.009     12.100      0.000      0.000      0.300   60.200    0.052   0.600     15.400      0.200      14.000    171.100     0.058   0.300             74.730
                                   turnip greens raw             18   0.200           0.009                 0.040                 0.066          3.900   0.400    0.800          1.800        0.000   0.012   49.300      0.000       0.015        0.100        0.000       0.015       0.300       0.200       0.100     33.000      0.000      1.600      0.100  104.500    0.200   0.600     17.100      0.300      23.100    162.800     0.026   0.100            144.800
                                spaghetti squash raw             31   0.600           0.100                 0.026                 0.200          7.000   2.800    0.600          1.500        0.000   0.081   92.500      0.000       0.060        0.022        0.000       0.061       1.000       0.400       0.100      2.100      0.000      0.100      0.076   23.200    0.077   0.300     12.100      0.100      12.100    109.100     0.091   0.200             35.300
                                         seaweed dry             52   0.300           0.006                 0.076                 0.200          9.200   0.000    3.100          7.300        6.600   0.900    2.800      0.000       0.014        0.010        0.043       0.300       0.800       0.000       0.003      5.800      0.011      1.100      0.000   59.800    0.021  13.300    138.400      1.200      52.000    588.800     0.000   0.500             98.800
                                          yam cooked            158   0.200           0.061                 0.018                 0.059         37.400   0.700    2.000          5.300        0.000   0.017   95.400      0.000       0.000        0.100        0.035       0.000       0.088       0.800       0.400      0.300     16.500      0.000      0.500    0.083   19.000   0.200      0.700     24.500       0.500     66.600   911.200   0.006             45.477
                                          corn dried            119   3.000           0.600                 1.100                 1.300         18.800   6.000    4.100          5.800        0.000   0.029    1.800      0.000       0.095        0.048        0.000       0.011       2.300       0.400       0.300      0.000      0.000      0.100      0.000    7.100    0.014   0.700     42.200      0.300      97.400    219.300     0.053   0.900             39.500
                                            cucumber             23   0.200           0.068                 0.044                 0.041          5.400   2.500    1.000          0.800        0.000   0.061  142.800      0.000       0.064        0.080        0.000       0.066       0.100       0.400       0.046      4.200      0.000      0.049      0.038   24.000    0.065   0.400     19.500      0.100      36.000    220.500     0.082   0.300             36.000
                                           arrowroot             78   0.200           0.094                 0.083                 0.100         16.100   0.000    5.100          1.600        0.000   0.052   96.900      0.000       0.200        0.400        0.000       0.060       2.000       0.400       0.300      2.300      0.000      0.000      0.000    7.200    0.100   2.700     30.000      0.200     117.600    544.800     0.061   0.800             35.200
                                         cardoon raw             30   0.200           0.072                 0.050                 0.054          7.200   0.000    1.200          2.800        0.000   0.300  167.300      0.000       0.000        0.064        0.100       0.000       0.098       0.500       0.600      0.200      3.600      0.000      0.000    0.000  124.600   0.400      1.200     74.800       0.500     40.900   712.000   0.058             12.000
                                bamboo shoots cooked             14   0.300           0.007                 0.059                 0.100          2.300   0.000    1.800          1.200        0.000   0.040  115.100      0.000       0.000        0.067        0.071       0.000       0.051       0.400       0.068      0.100      0.000      0.000      0.000    0.000   14.400   0.083      0.300      3.600       0.100     24.000   639.600   0.046              5.760
                                   summer squash raw             42   0.500           0.100                 0.048                 0.200          8.700   5.700    3.100          2.900        0.000   0.051  246.100      0.000       0.000        0.100        0.019       0.000       0.400       1.300       0.400      0.600     44.200      0.000      0.300    0.009   39.000   0.100      0.900     44.200       0.500     98.800   681.200   0.096             15.958
                                    sweet potato raw            112   0.002           0.036                 0.008                 0.015         26.200   5.400    2.000          3.900        0.000   0.079  100.500      0.000       0.000        0.100        0.049       0.000       0.081       0.700       1.000      0.300      3.100      0.000      0.300    0.048   39.000   0.200      0.800     32.500       0.300     61.100   438.100   0.044             32.696
                                        green tomato             42   0.400           0.024                 0.018                 0.100          9.300   7.300    2.200          2.000        0.000   0.055  169.300      0.000       0.100        0.027        0.000       0.017       0.900       0.900       0.100     42.600      0.000      0.700      0.003   23.700    0.200   0.900     18.200      0.200      51.000    371.300     0.051   0.100             81.100
                                     beet greens raw              8   0.078           0.026                 0.037                 0.015          1.600   0.200    0.800          1.400        0.000   0.013   34.600      0.000       0.008        0.064        0.000       0.068       0.200       0.027       0.087     11.400      0.000      0.600      0.200   44.500    0.092   1.000     26.600      0.100      15.600    289.600     0.039   0.100             60.771
                                savoy cabbage cooked             41   0.200           0.076                 0.023                 0.003          9.200   0.000    3.100          4.800        0.000   0.050  156.400      0.000       0.000        0.076        0.039       0.000       0.066       0.012       0.300      0.300     28.900      0.000      0.000    0.000   51.000   0.089      0.600     40.800       0.300     56.100   312.800   0.077             17.612
                                     witloof chicory              9   0.031           0.076                 0.077                 0.027          2.100   0.000    0.500          1.600        0.000   0.022   50.100      0.000       0.029        0.016        0.000       0.068       0.015       0.053       0.096      1.500      0.000      0.000      0.000   10.100    0.083   0.100      5.300      0.063      13.800    111.800     0.035   0.079             15.994
                                      turnips cooked             34   0.100           0.082                 0.089                 0.076          7.900   4.700    1.100          3.100        0.000   0.017  146.000      0.000       0.000        0.001        0.096       0.000       0.011       0.500       0.200      0.100     18.100      0.000      0.082    0.063   34.300   0.025      0.300     12.500       0.200     29.600   210.600   0.017             12.408
                                      dried tomatoes              5   0.053           0.032                 0.032                 0.086          1.100   0.800    0.300          0.200        0.000   0.069    0.300      0.000       0.013        0.022        0.000       0.056       0.200       0.072       0.034      0.800      0.000      0.079      0.090    2.200    0.082   0.200      3.900      0.065       7.100     68.500     0.061   0.085              4.838
                                           radicchio             15   0.200           0.031                 0.048                 0.024          2.900   0.400    0.900          0.600        0.000   0.033   60.500      0.000       0.039        0.039        0.000       0.077       0.200       0.200       0.048      5.200      0.000      1.500      0.200   12.400    0.200   0.400      8.500      0.087      26.000    196.300     0.042   0.400             22.600
                             mixed vegetables cooked            118   0.300           0.000                 0.090                 0.100         23.800   5.700    5.200          8.000        0.000   0.089  151.500      0.000       0.000        0.100        0.053       0.000       0.200       1.500       0.300      0.100      5.800      0.000      0.700    0.083   45.500   0.200      1.500     40.000       0.700     92.800   307.600   0.022             37.698
                                       yellow tomato             32   0.600           0.030                 0.003                 0.200          6.300   0.000    2.100          1.500        0.000   0.088  202.000      0.000       0.000        0.056        0.067       0.000       0.089       2.500       0.200      0.100     19.100      0.000      0.000    0.000   23.300   0.200      1.000     25.400       0.300     76.300   547.000   0.071             10.800
                                      cardoon cooked             26   0.100           0.014                 0.058                 0.092          6.400   0.000    0.900          2.000        0.000   0.200  112.200      0.000       0.047        0.081        0.000       0.044       0.400       0.100       0.009      2.000      0.000      0.000      0.000   86.400    0.011   0.900     51.600      0.200      27.600    470.400     0.088   0.200             98.700
                                         spinach raw              7   0.100           0.024                 0.049                 0.087          1.100   0.100    0.900          0.700        0.000   0.036   27.400      0.000       0.045        0.064        0.000       0.024       0.200       0.063       0.094      8.400      0.000      0.600      0.100   29.700    0.042   0.800     23.700      0.300      14.700    167.400     0.078   0.200             41.700
                                            kale raw              7   0.300           0.057                 0.014                 0.100          0.900   0.200    0.600          0.900        0.000   0.045   18.800      0.092       0.042        0.048        0.000       0.055       0.200       0.058       0.088     19.600      0.000      0.100      0.018   53.300    0.300   0.300      6.900      0.100      11.600     73.100     0.078   0.082             75.973
                               drumstick pods cooked             42   0.200           0.000                 0.000                 0.000          9.700   0.000    2.500          5.000        0.000   0.300  104.300      0.000       0.080        0.039        0.000       0.037       0.700       0.800       0.100    114.500      0.000      0.000      0.000   23.600    0.028   0.500     49.600      0.300      57.800    539.300     0.028   0.500            156.000
                                        kohlrabi raw             72   0.300           0.007                 0.072                 0.100         16.400   6.900    4.500          9.500        0.000   0.063  241.200      0.000       0.000        0.100        0.055       0.000       0.075       1.100       0.400      0.400    164.300      0.000      1.300    0.069   63.600   0.300      1.100     50.400       0.400    121.900   927.500   0.015             31.457
                                      lentil sprouts             82   0.400           0.067                 0.053                 0.200         17.000   0.000    6.900          0.000        0.000   0.044   51.900      0.000       0.200        0.046        0.000       0.082       0.900       0.400       0.100     12.700      0.000      0.000      0.000   19.300    0.300   2.500     28.500      0.400     133.200    247.900     0.089   1.200             58.800
                                         carrots raw             25   0.100           0.046                 0.043                 0.069          5.800   2.900    0.600          1.700        0.000   0.024   53.900      0.000       0.000        0.064        0.034       0.000       0.033       0.600       0.200      0.084      3.600      0.000      0.400    0.028   20.100   0.022      0.200      7.300       0.004     21.400   195.200   0.012              8.430
                                   red chili peppers             18   0.200           0.088                 0.050                 0.100          4.000   2.400    0.800          0.700        0.000   0.030   39.600      0.000       0.076        0.085        0.000       0.036       0.600       0.040       0.200     64.700      0.000      0.300      0.039    6.300    0.042   0.500     10.400      0.071      19.400    144.900     0.014   0.100             77.200
                                              fennel             73   0.500           0.000                 0.000                 0.000         17.100   0.000    2.900          7.300        0.000   0.100  211.100      0.000       0.000        0.049        0.011       0.000       0.022       1.500       0.500      0.100     28.100      0.000      1.400    0.100  114.700   0.200      1.700     39.800       0.400    117.000   968.800   0.025             28.200
                                    sweet corn white             63   0.900           0.100                 0.300                 0.400         13.900   2.400    2.400          2.000        0.000   0.016   55.500      0.000       0.000        0.100        0.060       0.000       0.030       1.200       0.600      0.074      5.000      0.000      0.079    0.084    1.500   0.049      0.400     27.000       0.100     65.000   197.100   0.094             19.356
                                        celeriac raw             66   0.500           0.100                 0.052                 0.200         14.400   2.500    2.300          2.800        0.000   0.200  137.300      0.000       0.000        0.044        0.098       0.000       0.063       1.100       0.500      0.300     12.500      0.000      0.600    0.081   67.100   0.100      1.100     31.200       0.200    179.400   468.000   0.093             20.499
                                  hubbard squash raw             46   0.600           0.100                 0.096                 0.200         10.100   4.600    2.300          4.500        0.000   0.094  102.100      0.000       0.000        0.066        0.098       0.000       0.025       0.600       0.500      0.200     12.800      0.000      0.200    0.086   16.200   0.033      0.500     22.000       0.200     24.400   371.200   0.020             17.795
                             brussels sprouts cooked              8   0.100           0.099                 0.044                 0.062          1.500   0.400    0.500          0.500        0.000   0.051   18.700      0.000       0.012        0.000        0.000       0.079       0.100       0.022       0.043     13.000      0.000      0.076      0.059    7.600    0.074   0.300      4.200      0.017      11.800     66.600     0.055   0.067             23.500
                                      carrots cooked             16   0.092           0.096                 0.074                 0.008          3.800   1.600    0.300          1.400        0.000   0.025   41.500      0.000       0.053        0.063        0.000       0.051       0.300       0.100       0.036      1.700      0.000      0.500      0.036   13.800    0.036   0.200      4.600      0.084      13.800    108.100     0.021   0.073             21.214
                                  lambs quarters raw              0   0.067           0.000                 0.000                 0.000          0.069   0.000    0.080          0.046        0.000   0.033    0.800      0.000       0.041        0.083        0.000       0.011       0.065       0.000       0.054      0.000      0.000      0.000      0.094    3.300    0.045   0.060      1.500      0.076       0.600     11.400     0.052   0.080              3.658
                                   lotus root cooked              6   0.056           0.029                 0.092                 0.016          1.400   0.000    0.100          0.300        0.000   0.000    7.200      0.000       0.023        0.015        0.000       0.022       0.007       0.083       0.053      2.400      0.000      0.000      0.000    2.300    0.032   0.059      2.000      0.042       6.900     32.300     0.029   0.097              6.591
                                      split peas raw            672   2.300           0.300                 0.500                 1.000        118.900  15.800   48.400         50.200        0.000   0.075   22.200      0.000       1.400        0.500        0.000       0.400       5.700       3.500       0.300      3.500      0.000      0.200      0.037  108.400    1.700   8.700    226.600      2.700     721.000   1932.600     0.037   5.900            340.400
                                   scots kale cooked             36   0.500           0.014                 0.000                 0.300          7.300   0.000    2.500          0.000        0.000   0.400  118.600      0.000       0.068        0.042        0.000       0.056       1.000       0.080       0.200     68.600      0.000      0.000      0.000  171.600    0.200   2.500     74.100      0.500      49.400    356.200     0.037   0.300            253.000
                                         corn cooked             99   1.500           0.200                 0.400                 0.600         21.600   4.700    3.500          2.500        0.000   0.039   75.600      0.000       0.000        0.006        0.053       0.000       0.017       1.700       0.800      0.100      5.700      0.000      0.006    0.055    3.100   0.025      0.500     26.800       0.200     79.300   224.500   0.084             29.288
                                          radish raw              1   0.026           0.084                 0.086                 0.021          0.200   0.066    0.042          0.002        0.000   0.033    4.300      0.000       0.000        0.066        0.088       0.000       0.082       0.004       0.073      0.096      0.700      0.000      0.000    0.002    1.100   0.052      0.026      0.500       0.084      0.900    10.500   0.013              0.556
                                    stinging nettles             37   0.007           0.000                 0.000                 0.000          6.700   0.200    2.400          6.100        0.000   0.090   78.000      0.000       0.027        0.099        0.000       0.100       0.300       0.000       0.098      0.000      0.000      0.000      0.400  428.100    0.012   1.500     50.700      0.700      63.200    297.300     0.045   0.300            444.816
                                        baby carrots              5   0.053           0.015                 0.043                 0.002          1.200   0.700    0.031          0.400        0.000   0.097   13.600      0.000       0.002        0.035        0.000       0.035       0.095       0.090       0.092      0.400      0.000      0.000      0.053    4.800    0.089   0.100      1.500      0.001       4.200     35.600     0.081   0.025              6.999
                                sweet yellow peppers             50   0.400           0.012                 0.000                 0.000         11.800   0.000    1.900          1.700        0.000   0.017  171.200      0.000       0.080        0.064        0.000       0.052       1.700       0.300       0.300    341.300      0.000      0.000      0.000   20.500    0.200   0.900     22.300      0.200      44.600    394.300     0.047   0.300            378.500
                                     taro leaves raw             12   0.200           0.013                 0.075                 0.043          1.900   0.800    1.400          1.000        0.000   0.083   24.000      0.000       0.041        0.041        0.000       0.100       0.400       0.035       0.096     14.600      0.000      0.600      0.047   30.000    0.079   0.600     12.600      0.200      16.800    181.400     0.064   0.100             49.700
                                            corn raw            123   1.900           0.500                 0.600                 0.700         26.700   9.000    4.700          2.900        0.000   0.083  108.800      0.000       0.000        0.200        0.080       0.000       0.032       2.500       1.000      0.100      9.700      0.000      0.100    0.054    2.900   0.076      0.700     52.900       0.200    127.300   386.100   0.022             36.328
                                             roselle             28   0.400           0.000                 0.000                 0.000          6.400   0.000    0.500          0.000        0.000   0.079   49.400      0.000       0.005        0.000        0.000       0.017       0.200       0.000       0.000      6.800      0.000      0.000      0.000  122.600    0.000   0.800     29.100      0.000      21.100    118.600     0.000   0.000            137.500
                                drumstick leaves raw             13   0.300           0.000                 0.000                 0.000          1.700   0.000    2.000          0.400        0.000   0.071   16.500      0.000       0.026        0.031        0.000       0.100       0.500       0.065       0.300     10.900      0.000      0.000      0.000   38.900    0.074   0.800     30.900      0.200      23.500     70.800     0.084   0.100             55.000
                                  scallop squash raw             23   0.300           0.097                 0.018                 0.100          5.000   3.100    1.600          1.600        0.000   0.075  122.400      0.000       0.002        0.080        0.000       0.010       0.800       0.100       0.100     23.400      0.000      0.200      0.038   24.700    0.100   0.500     29.900      0.200      46.800    236.600     0.017   0.400             57.100
                                       chicory roots             65   0.200           0.052                 0.054                 0.041         15.800   7.900    1.300          1.400        0.000   0.055   72.000      0.000       0.000        0.080        0.007       0.000       0.029       0.400       0.300      0.200      4.500      0.000      0.000    0.000   36.900   0.051      0.700     19.800       0.200     54.900   261.000   0.076             18.997
                                brussels sprouts raw              8   0.077           0.072                 0.028                 0.026          1.700   0.400    0.600          0.700        0.000   0.049   16.300      0.000       0.054        0.018        0.000       0.011       0.100       0.038       0.020     16.200      0.000      0.200      0.032    8.000    0.077   0.300      4.400      0.019      13.100     73.900     0.060   0.059             27.553
                                         kale cooked             42   1.400           0.200                 0.100                 0.800          6.300   1.400    3.500          4.700        0.000   0.018  106.000      0.000       0.200        0.028        0.058       0.000       0.200       0.500       0.049      0.069     21.000      0.000      1.900    0.500  177.000   0.200      1.000     29.500       0.500     49.600   169.900   0.082             16.697
                                pupusas con frijoles            289  11.400           2.800                 3.800                 3.700         39.700   1.600    7.000          7.300        0.000   0.400   65.700      0.000       0.061        0.000        0.000       0.026       1.100       0.400       0.200      0.000      0.000      0.500      0.099   64.300    0.200   1.800     68.000      0.400     181.400    384.300     0.070   1.200            131.500
                                     mustard cabbage             36   0.100           0.016                 0.057                 0.033          7.200   1.800    1.400          4.000        0.000   0.900  117.900      0.000       0.000        0.031        0.093       0.000       0.100       0.900       0.200      0.400      0.000      0.000      0.049    0.100   85.800   0.077      0.900     19.200       0.300     34.600   314.900   0.024             13.276
                                           gourd raw             19   0.200           0.070                 0.076                 0.041          4.100   1.900    1.100          1.000        0.000   0.030   89.200      0.000       0.000        0.035        0.059       0.000       0.084       0.400       0.200      0.022     11.400      0.000      0.062    0.047   19.000   0.016      0.300     13.300       0.029     30.400   132.100   0.032              6.584
                             butternut squash cooked             80   0.200           0.013                 0.076                 0.036         21.000   3.900    1.800          6.400        0.000   0.002  175.600      0.000       0.100        0.022        0.000       0.033       1.900       0.700       0.200     30.200      0.000      2.600      0.029   82.000    0.100   1.200     58.000      0.300      54.000    568.000     0.065   0.300            142.800
                                 burdock root cooked            146   0.200           0.000                 0.000                 0.000         35.100   5.900    3.500          3.000        0.000   0.400  125.600      0.000       0.005        0.067        0.000       0.079       0.500       0.600       0.500      4.300      0.000      0.800      0.063   81.300    0.100   1.300     64.700      0.400     154.400    597.600     0.053   0.600            128.700
                                             cassava            330   0.600           0.200                 0.200                 0.061         78.400   3.500    2.800          3.700        0.000   0.099  122.900      0.000       0.000        0.200        0.051       0.000       0.082       1.800       0.200      0.200     42.400      0.000      0.400    0.011   33.000   0.200      0.600     43.300       0.800     55.600   558.300   0.086             85.964
                                 peas carrots cooked             77   0.700           0.100                 0.004                 0.300         16.200   7.000    4.900          5.000        0.000   0.500  137.300      0.000       0.400        0.016        0.000       0.100       1.800       0.300       0.100     13.000      0.000      0.800      0.057   36.800    0.100   1.500     25.600      0.300      78.400    252.800     0.035   0.700             78.100
                                     romaine lettuce              8   0.100           0.049                 0.085                 0.079          1.500   0.600    0.600          1.000        0.000   0.083   44.500      0.000       0.090        0.051        0.000       0.006       0.100       0.092       0.026      1.900      0.000      0.011      0.099   15.500    0.070   0.500      6.600      0.002      14.100    116.100     0.045   0.100             21.100
                                             yam raw            177   0.300           0.067                 0.019                 0.100         41.800   0.800    2.300          6.200        0.000   0.017  104.400      0.000       0.000        0.200        0.002       0.000       0.001       0.800       0.500      0.400     25.700      0.000      0.500    0.025   25.500   0.300      0.800     31.500       0.600     82.500  1224.000   0.100             51.390
                                    chowchow pickles            296   2.200           0.400                 0.400                 1.000         65.300  58.500    3.700          3.700        0.000   1.300  168.800      0.000       0.000        0.067        0.000       0.066       0.000       0.200       0.022     14.700      0.000      0.400      0.200   56.400    0.200   3.400     51.500      0.200      53.900    490.000     0.091   0.600            149.400
                                 prairie turnips raw             20   0.029           0.000                 0.000                 0.000          4.500   0.100    0.300          1.000        0.000   0.059    7.700      0.000       0.019        0.051        0.000       0.020       0.100       0.000       0.027      0.700      0.000      0.000      0.000   16.500    0.037   0.200      8.000      0.097       3.900     19.800     0.087   0.050             23.255
                                   savoy cabbage raw             19   0.017           0.091                 0.008                 0.014          4.300   1.600    1.400          2.200        0.000   0.007   63.700      0.000       0.000        0.003        0.060       0.000       0.094       0.200       0.100      0.100     21.700      0.000      0.100    0.066   24.500   0.071      0.300     19.600       0.100     29.400   161.000   0.014              8.199
                                          celery raw              6   0.045           0.005                 0.033                 0.091          1.200   0.500    0.300          0.600        0.000   0.019   38.200      0.000       0.000        0.041        0.041       0.000       0.002       0.100       0.032      0.007      1.200      0.000      0.100    0.086   16.000   0.056      0.063      4.400       0.010      9.600   104.000   0.031              2.212
                                     celeriac cooked             42   0.300           0.000                 0.000                 0.000          9.100   0.000    1.500          0.000        0.000   0.084  143.100      0.000       0.033        0.091        0.000       0.065       0.700       0.300       0.200      5.600      0.000      0.000      0.000   40.300    0.044   0.700     18.600      0.100     102.300    268.200     0.093   0.300             57.500
                                 mustard spinach raw             33   0.500           0.087                 0.200                 0.073          5.900   0.000    3.300          4.200        0.000   0.025  138.300      0.000       0.100        0.200        0.000       0.100       1.000       0.300       0.200    195.000      0.000      0.000      0.000  315.000    0.100   2.300     16.500      0.600      42.000    673.500     0.054   0.300            526.200
                                        zucchini raw             44   0.800           0.200                 0.074                 0.200          8.100   6.500    3.100          2.600        0.000   0.023  246.500      0.000       0.000        0.100        0.096       0.000       0.200       1.200       0.500      0.400     46.500      0.000      0.300    0.033   41.600   0.100      1.000     46.800       0.500     98.800   678.600   0.050             15.151
                                         okra cooked             35   0.300           0.032                 0.033                 0.034          7.200   3.800    3.000          4.000        0.000   0.400  148.100      0.000       0.200        0.097        0.000       0.024       1.400       0.300       0.300     26.100      0.000      0.400      0.057  123.200    0.100   0.400     57.600      0.500      51.200    216.000     0.065   0.700            164.200
                                 white icicle radish             14   0.100           0.076                 0.083                 0.091          2.600   0.000    1.100          1.400        0.000   0.049   95.400      0.000       0.002        0.097        0.000       0.095       0.300       0.200       0.079     29.000      0.000      0.000      0.000   27.000    0.036   0.800      9.000      0.047      28.000    280.000     0.044   0.100             62.000
                                       orange tomato             18   0.200           0.097                 0.062                 0.046          3.500   0.000    1.300          1.000        0.000   0.001  105.200      0.000       0.000        0.067        0.060       0.000       0.027       0.700       0.200      0.071     17.800      0.000      0.000    0.000    5.600   0.079      0.500      8.900       0.099     32.200   235.300   0.006              6.093
                                  pumpkin leaves raw              7   0.200           0.053                 0.063                 0.039          0.900   0.000    1.200          0.000        0.000   0.057   36.200      0.000       0.049        0.042        0.000       0.055       0.400       0.022       0.015      4.300      0.000      0.000      0.000   15.200    0.063   0.900     14.800      0.100      40.600    170.000     0.085   0.045             22.700
                             spaghetti squash cooked             42   0.400           0.091                 0.000                 0.200         10.000   3.900    1.000          2.200        0.000   0.400  143.100      0.000       0.026        0.099        0.000       0.017       1.300       0.600       0.200      5.400      0.000      0.200      0.083   32.600    0.097   0.500     17.100      0.200       0.000    181.400     0.056   0.300             52.100
                                   white corn cooked            100   1.500           0.200                 0.400                 0.600         22.400   8.000    3.400          2.800        0.000   0.082   75.000      0.000       0.000        0.099        0.093       0.000       0.050       1.700       0.800      0.100      6.400      0.000      0.037    0.017    2.100   0.052      0.600     31.900       0.200     94.800   259.600   0.056             30.302
                                    artichoke cooked             64   0.400           0.059                 0.077                 0.200         14.300   1.200    3.500         10.300        0.000   0.087  100.900      0.000       0.000        0.017        0.100       0.000       0.100       1.300       0.300      0.028      8.900      0.000      0.200    0.035   25.200   0.200      0.700     50.400       0.300     87.600   343.200   0.074             28.845
                                             avocado            432  39.600           5.700                26.500                 4.900         23.000   1.800    5.400         18.100        0.000   0.045  197.700      0.000       0.000        0.200        0.200       0.000       0.400       4.700       3.800      0.700     27.000      0.000      5.600    0.078   32.400   0.500      1.500     78.300       0.400    140.400  1309.500   0.052             87.302
                         string beans wellsley farms              8   0.000           0.000                 0.000                 0.000          1.700   0.300    0.300          0.087        1.000   0.000    0.000      0.000       0.000        0.000        0.000       0.000       0.000       0.000       0.000      0.000      0.000      0.000      0.000    0.000    0.000   0.000      0.000      0.000       0.000      0.000     0.000   0.000              2.090
                               lambs quarters cooked             58   1.300           0.085                 0.200                 0.600          9.000   1.100    5.800          3.800        0.000   0.500  160.000      0.000       0.200        0.077        0.000       0.500       1.600       0.100       0.300     66.600      0.000      0.000      0.900  464.400    0.400   1.300     41.400      0.900      81.000    518.400     0.005   0.500            552.200
                                         peas cooked            134   0.400           0.065                 0.050                 0.200         25.000   9.500    8.600          8.800        0.000   0.074  124.600      0.000       0.000        0.400        0.100       0.000       0.200       3.200       0.200      0.300     22.700      0.000      0.200    0.011   43.200   0.300      2.500     62.400       0.800    187.200   433.600   0.005             43.499
                                        beets cooked             22   0.085           0.026                 0.024                 0.070          5.000   4.000    0.800          1.000        0.000   0.035   43.500      0.000       0.000        0.033        0.023       0.000       0.065       0.200       0.079      0.026      1.800      0.000      0.016    0.099    8.000   0.021      0.400     11.500       0.200     19.000   152.500   0.009              7.012
                                      shallots dried              3   0.013           0.063                 0.043                 0.061          0.700   0.300    0.100          0.100        0.000   0.059    0.087      0.000       0.000        0.044        0.020       0.000       0.013       0.018       0.050      0.096      0.400      0.000      0.093    0.043    1.600   0.082      0.021      0.900       0.088      2.700    14.900   0.032              1.070
                                       green lettuce             23   0.200           0.027                 0.075                 0.100          4.300   1.200    2.000          2.000        0.000   0.050  142.500      0.000       0.000        0.100        0.077       0.000       0.100       0.600       0.200      0.100     13.800      0.000      0.300    0.200   54.000   0.012      1.300     19.500       0.400     43.500   291.000   0.086              8.829
                                     kohlrabi cooked             48   0.200           0.041                 0.004                 0.094         11.000   4.600    3.000          1.800        0.000   0.035  149.000      0.000       0.000        0.013        0.029       0.000       0.037       0.600       0.300      0.300     89.100      0.000      0.900    0.008   41.300   0.200      0.700     31.400       0.200     74.300   561.000   0.037             16.506
                                        kanpyo dried            139   0.300           0.041                 0.012                 0.100         35.100   0.000    4.600          5.300        0.000   0.056   10.800      0.000       0.000        0.000        0.087       0.000       0.085       1.600       1.400      0.300      0.100      0.000      0.000    0.000  151.200   0.200      2.800     67.500       0.600    101.500   854.300   0.058             45.800
                              prairie turnips boiled             18   0.086           0.000                 0.000                 0.000          4.200   0.700    0.200          1.000        0.000   0.012    9.500      0.000       0.009        0.000        0.000       0.041       0.088       0.000       0.026      0.300      0.000      0.000      0.000   14.400    0.045   0.100      6.900      0.008       2.800     15.100     0.000   0.035             20.299
                                broccoli raab cooked             21   0.400           0.086                 0.017                 0.100          2.700   0.500    3.300          2.400        0.000   0.077   77.700      0.000       0.000        0.100        0.004       0.000       0.100       1.700       0.400      0.200     31.500      0.000      2.200    0.200  100.300   0.060      1.100     23.000       0.300     69.700   291.600   0.069              9.289
                                summer squash cooked             49   1.000           0.200                 0.031                 0.300          9.900   6.400    2.700          2.900        0.000   0.036  245.100      0.000       0.100        0.100        0.095       0.000       0.023       1.300       0.400      0.200     30.200      0.000      0.300    0.028   57.200   0.300      1.000     41.600       0.600     75.400   460.200   0.032             17.090
                                         taro cooked            187   0.100           0.012                 0.064                 0.056         45.700   0.600    0.700          6.700        0.000   0.055   84.200      0.000       0.000        0.100        0.042       0.000       0.002       0.700       0.400      0.400      6.600      0.000      3.900    0.073   23.800   0.300      1.000     39.600       0.600    100.300   638.900   0.005             53.993
                              spring onion scallions              6   0.077           0.029                 0.055                 0.031          1.500   0.500    0.400          0.500        0.000   0.048   18.000      0.000       0.000        0.025        0.060       0.000       0.043       0.100       0.097      0.055      3.800      0.000      0.100    0.006   14.400   0.057      0.300      4.000       0.090      7.400    55.200   0.056              2.554
                               hubbard squash cooked             57   0.700           0.100                 0.042                 0.300         12.300   5.600    2.800          5.500        0.000   0.500  173.100      0.000       0.000        0.084        0.001       0.000       0.064       0.600       0.600      0.200     12.400      0.000      0.200    0.029   19.000   0.095      0.500     24.700       0.200     26.600   406.600   0.053             21.554
